City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
328,Coahuayana,LK,7.4167,81.8167,83.5,66,86,2.37,overcast clouds
329,Taltal,MX,18.7333,-103.6833,77.67,85,97,2.08,overcast clouds
330,Sao Joao Da Barra,CL,-25.4,-70.4833,59.25,79,100,3.83,overcast clouds
331,Vicuna,BR,-21.6403,-41.0511,68.34,85,0,10.6,clear sky
332,Verkhoyansk,CL,-30.0319,-70.7081,46.13,68,93,0.87,overcast clouds
333,Port-Gentil,RU,67.5447,133.385,83.7,38,77,3.29,broken clouds
334,Samara,GA,-0.7193,8.7815,74.75,80,96,13.51,overcast clouds
335,Progreso,RU,53.0,50.0,70.61,74,4,9.06,clear sky
336,Gardelegen,MX,21.2833,-89.6667,75.31,81,67,14.14,broken clouds
337,Lensk,DE,52.5252,11.3952,50.9,88,73,2.51,broken clouds
338,Fredericton,RU,60.7253,114.9278,91.26,37,2,10.76,clear sky
339,Moussoro,CA,45.9454,-66.6656,63.45,92,20,4.61,few clouds
340,Katsuura,TD,13.6408,16.4901,75.45,77,100,7.9,overcast clouds
341,Labuhan,JP,35.1333,140.3,83.41,78,56,11.65,broken clouds
342,Skelleftea,ID,-6.8844,112.2051,86.47,60,99,7.49,overcast clouds
343,Bandarbeyla,SE,64.7507,20.9528,52.0,97,100,9.22,light rain
344,Mut,SO,9.4942,50.8122,78.66,62,98,26.71,overcast clouds
345,Kuybyshevo,TR,36.6439,33.4389,80.76,31,0,4.59,clear sky
346,Dalbandin,RU,47.8123,38.9073,75.02,54,0,4.0,clear sky
347,Souillac,PK,28.8947,64.4101,85.05,59,97,6.69,overcast clouds
348,Gazli,MU,-20.5167,57.5167,68.38,83,40,6.91,light rain
