City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
95,Lephepe,RU,72.21,scattered clouds,46.1711,45.3435,"Gostinitsa ""Putnik"""
98,Sitka,DZ,74.5,clear sky,36.3868,4.3989,Hôtel Numédia
100,Eureka,MV,82.8,overcast clouds,-0.6,73.0833,Scoop Guest House
106,Inyonga,MV,83.23,overcast clouds,0.5333,72.9333,
110,Vila,US,72.99,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
113,Constitucion,LK,82.92,overcast clouds,7.7733,81.6095,Farhan KING House
122,Cockburn Town,NC,73.02,overcast clouds,-21.6924,165.677,Equi-lodge de Moindou
123,Kapaa,TC,81.16,clear sky,21.4612,-71.1419,Osprey Beach Hotel
124,Prince Rupert,US,84.18,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
126,Vaitupu,AU,70.21,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
128,Yaan,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
129,Tres Arroyos,NG,70.7,overcast clouds,7.3833,8.5667,
131,Russell,AU,74.48,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
132,Khatanga,US,80.2,clear sky,32.3502,-85.1999,Macs
133,Cidreira,RU,72.39,overcast clouds,71.9667,102.5,"""Khatanga"""
136,Quatre Cocos,LY,79.03,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
137,General Roca,MU,71.1,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
140,Bluff,ID,82.13,scattered clouds,-0.8833,131.25,Waigo Splash Hotel
143,Fort Nelson,LY,75.74,clear sky,32.0633,12.5286,بيوت الشباب بيفرن
144,Adrar,CA,76.59,few clouds,58.8053,-122.7002,The Fort Nelson Hotel
147,Moerai,IN,80.78,overcast clouds,26.9147,70.9181,Hotel Fifu
148,Hihya,PF,71.89,overcast clouds,-22.4333,-151.3333,Le Manotel
149,Wuwei,EG,73.99,clear sky,30.6713,31.588,مضيفة المركز
151,Callaway,RU,70.59,scattered clouds,65.3667,64.6667,Gostinitsa
152,Hervey Bay,US,80.91,few clouds,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
154,Luang Prabang,VE,77.2,broken clouds,10.6038,-67.0303,HOTEL PLAYA GRANDE CARIBE
159,Ambodifototra,MX,82.33,scattered clouds,21.1743,-86.8466,Hotel Tankah Cancun
160,Brooks,RU,70.12,overcast clouds,55.1033,99.3875,
162,Airai,TR,80.2,clear sky,36.9559,36.2,Artemis Otel
163,Touros,TL,71.01,few clouds,-8.9266,125.4092,
164,Karamea,BR,72.72,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
176,Pathein,US,82.76,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
179,Upernavik,BR,77.81,broken clouds,-5.8194,-46.1386,Hotel Confiança
182,Coihaique,EG,76.91,clear sky,31.3525,27.2453,Beau Site
185,Arman,PG,78.12,scattered clouds,-9.0763,143.2092,Daru Lodge
186,Manavalakurichi,RU,73.02,scattered clouds,59.7,150.1667,
